,RowID,Model,Question,Answer,Question_category,Question_sub_category,Caption Notes,annotator,video_path,Prompt
0,59.0,Runawaygen2,How many launching rockets in this video?,Two,Alignment,,,wxy,./new_video_folders/Runawaygen2/1uPVDzHcNEAApEhzlewBnx639vlNPHhLL.mp4,Generate a video for launching two rockets
1,59.0,Runawaygen2,Does all the launching rockets lifting up in the same pace and fly over the tower?,No. One of them left behind and is still not released by the lanuch clamp.,Alignment,,,wxy,./new_video_folders/Runawaygen2/1uPVDzHcNEAApEhzlewBnx639vlNPHhLL.mp4,Generate a video for launching two rockets
2,59.0,Runawaygen2,Is there any fast moving objects inside this video?,Yes. There are two launching rockets inside.,Reasoning,,,wxy,./new_video_folders/Runawaygen2/1uPVDzHcNEAApEhzlewBnx639vlNPHhLL.mp4,Generate a video for launching two rockets
3,59.0,Runawaygen2,We know that the observing point of this video is fixed and the launching rockets are moving very fast. Does the rockets disappear when the video end?,No. Both rockets still exist in the frame by the end of the video.,Reasoning,,,wxy,./new_video_folders/Runawaygen2/1uPVDzHcNEAApEhzlewBnx639vlNPHhLL.mp4,Generate a video for launching two rockets
4,59.0,Runawaygen2,Do you see anything abnormal in this video?,Yes. Both launching rockets stay static in their positions throughout the video.,Consistency,,,wxy,./new_video_folders/Runawaygen2/1uPVDzHcNEAApEhzlewBnx639vlNPHhLL.mp4,Generate a video for launching two rockets
5,59.0,Runawaygen2,Does the launching rocket moving upwards in this video? ,No. The rocket is launching but its position across the frame does not change.,Common Sense,,,wxy,./new_video_folders/Runawaygen2/1uPVDzHcNEAApEhzlewBnx639vlNPHhLL.mp4,Generate a video for launching two rockets
6,59.0,Runawaygen2,"We know that when the rocket is launching, it will moving upwards in a very fast speed. Does the launching rocket moving upwards in this video?",No. The rocket is launching but its position across the frame does not change.,Common Sense,,,wxy,./new_video_folders/Runawaygen2/1uPVDzHcNEAApEhzlewBnx639vlNPHhLL.mp4,Generate a video for launching two rockets
7,59.0,Runawaygen2,Does all the launch clamp release in this video?,No. One of them does not.,Common Sense,,,wxy,./new_video_folders/Runawaygen2/1uPVDzHcNEAApEhzlewBnx639vlNPHhLL.mp4,Generate a video for launching two rockets
8,59.0,Runawaygen2,"When launching rockets, the launch clamp fixing the rockets should be released to clear their path upwards, do all the launch clamp for rockets inside release in this video?",No. One of them does not.,Common Sense,,,wxy,./new_video_folders/Runawaygen2/1uPVDzHcNEAApEhzlewBnx639vlNPHhLL.mp4,Generate a video for launching two rockets
9,62.0,Runawaygen2,How many complete watermelons inside this video?,Three,Alignment,,,wxy,./new_video_folders/Runawaygen2/1UoUc0_KlfQgcIxF4ReOeRn33z7RAkyvW.mp4,Generate the process that a bullet is shot into a watermelon
10,62.0,Runawaygen2,Does any bullet appear in this video?,No. There is no bullet existing over the entire video,Alignment,,,wxy,./new_video_folders/Runawaygen2/1UoUc0_KlfQgcIxF4ReOeRn33z7RAkyvW.mp4,Generate the process that a bullet is shot into a watermelon
11,62.0,Runawaygen2,Does the background color resemble the watermelons' pulp? ,"Yes, as the background color is a soft pink hue.",Reasoning,,,wxy,./new_video_folders/Runawaygen2/1UoUc0_KlfQgcIxF4ReOeRn33z7RAkyvW.mp4,Generate the process that a bullet is shot into a watermelon
12,62.0,Runawaygen2,Is there any fast-moving object involved in this video?,No. There is no bullet existing over the entire video. Only watermelons and their pulp.,Reasoning,,,wxy,./new_video_folders/Runawaygen2/1UoUc0_KlfQgcIxF4ReOeRn33z7RAkyvW.mp4,Generate the process that a bullet is shot into a watermelon
